Key	Author	Title	Url	Date	Num Pages	Num Pages (est.)	Publisher	Place	Call Number	Manual Tags	Editor	Translator	Contributor
2MXRT9A7	Molière (1622-1673)	Les Œuvres de Molière avec notes et variantes, par Alphonse Pauly, tome 8	http://gallica.bnf.fr/ark:/12148/bpt6k9602611r	1888	347	347	A. Lemerre	Paris	http://catalogue.bnf.fr/ark:/12148/cb30958251b/PUBLIC	"BNF_2014-03_COM; corpus_Molière; etat_NUM-Done; etat_TODO-Stylage; responsable_Forestier"	Pauly, Alphonse		
5FF7C8Q3	Pontmartin, Armand de (1811-1890)	Nouvelles semaines littéraires	http://gallica.bnf.fr/ark:/12148/bpt6k9617279s	1863	347	347	M. Lévy frères	Paris	http://catalogue.bnf.fr/ark:/12148/cb31135506z/PUBLIC	"BNF_2014-03_COM; corpus_Critique; corpus_Sciences; etat_NUM-Done; modeGallica_texte; priorite_1; responsable_Alexandre-Critique; responsable_Riguet-Lettres"			
FGE697PN	"Bédier, Joseph (1864-1938); Hazard, Paul (1878-1944); Ascoli, Georges (1882-1944); Beaunier, André (1869-1925)"	Histoire de la littérature française illustrée, tome II	"http://gallica.bnf.fr/ark:/12148/bpt6k9674509w?rk=21459;2"	1940	348	348	Larousse	Paris	http://catalogue.bnf.fr/ark:/12148/cb31785408f/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; priorite_2; responsable_Alexandre-Critique"			
94M874BU	Gillet, Louis (1876-1943)	Shakespeare	http://gallica.bnf.fr/ark:/12148/bpt6k96121861	1931	348	348	Bernard Grasset	Paris	http://catalogue.bnf.fr/ark:/12148/cb32166346n/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; responsable_Alexandre-Critique"			
P9UUSSB9	Stapfer, Paul (1840-1917)	Variétés morales et littéraires	http://gallica.bnf.fr/ark:/12148/bpt6k9615868f	1881	349	349	G. Fischbacher	Paris	http://catalogue.bnf.fr/ark:/12148/cb31399180t/PUBLIC	"BNF_2014-03_COM; CHARGÉ; corpus_Critique; corpus_Sciences; etat_NUM-Done; modeGallica_texte; priorite_1; responsable_Alexandre-Critique; responsable_Riguet-Lettres"			
U7UCRQ24	Dumas, Alexandre (1824-1895)	Nouveaux entr'actes	http://gallica.bnf.fr/ark:/12148/bpt6k96165961	1890	350	350	C. Lévy	Paris	http://catalogue.bnf.fr/ark:/12148/cb30373570m/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; modeGallica_texte; priorite_2; responsable_Alexandre-Critique"			
29FGGP49	Faguet, Émile (1847-1916)	Propos de théâtre : 2e série	http://obvil.paris-sorbonne.fr/corpus/critique/faguet_propos-theatre-02/	1904	350	350	Société française d'imprimerie et de librairie	Paris	http://catalogue.bnf.fr/ark:/12148/cb304156395/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_DONE; etat_NUM-Done; responsable_Alexandre-Critique"			
GXHBVVKC	Lamartine, Alphonse de (1790-1869)	Shakespeare et son œuvre	http://gallica.bnf.fr/ark:/12148/bpt6k9617914v	1865	351	351	A. Lacroix : Verboeckhoven et Cie	Paris	http://catalogue.bnf.fr/ark:/12148/cb30725546w/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; modeGallica_texte; priorite_1; responsable_Alexandre-Critique"			
SQ6V8CV8	Montégut, Émile (1825-1895)	Nos morts contemporains, 2e série :  Théophile Gautier. Eugène Fromentin. Charles Gleyre. Saint-René Taillandier. Maurice de Guérin. Eugénie de  Guérin	http://gallica.bnf.fr/ark:/12148/bpt6k9692321k	1884	351	351	Hachette	Paris	http://catalogue.bnf.fr/ark:/12148/cb30969001p/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; priorite_2; responsable_Alexandre-Critique"			
VS4HGPTA	Zyromski, Ernest (1862-1933)	Lamartine, poète lyrique	"http://gallica.bnf.fr/ark:/12148/bpt6k1269155d?rk=21459;2"	1897	351	351	A. Colin	Paris	http://catalogue.bnf.fr/ark:/12148/cb31694329x/PUBLIC	"BNF_2014-03_COM; CHARGÉ; corpus_Critique; etat_NUM-Done; etat_TODO-OCR; priorite_2; responsable_Alexandre-Critique"			
2S34WID9	Albalat, Antoine (1856-1935)	L'amour chez Alphonse Daudet : essai	http://gallica.bnf.fr/ark:/12148/bpt6k9613928n	1884	352	352	P. Ollendorff	Paris	http://catalogue.bnf.fr/ark:/12148/cb30007011q/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; modeGallica_texte; priorite_1; responsable_Alexandre-Critique"			
